,sepcv001T1,sepcv002T0,sepcv003T0,sepcv004T0,sepcv005T0,sepcv006T0,sepcv007T1,sepcv008T1,sepcv009T1,sepcv010T0,sepcv011T0,sepcv012T1,sepcv013T1,sepcv015T1,sepcv016T1,sepcv017T0,sepcv018T1,sepcv019T0,sepcv020T0,sepcv021T0,sepcv022T0,sepcv023T1,sepcv024T1,sepcv026T0,sepcv027T0,sepcv028T1,sepcv029T1,sepcv030T1,sepcv031T1,sepcv032T1,sepcv033T1,sepcv034T1,sepcv036T0,sepcv037T0,sepcv039T1,sepcv040T1,sepcv041T2,sepcv042T0,sepcv043T1,sepcv044T0,sepcv045T1,sepcv047T1,sepcv048T1,sepcv049T1,sepcv050T1,sepcv051T1,sepcv052T1,sepcv053T1,sepcv054T1,sepcv055T1,sepcv056T1,sepcv057T1,sepcv058T1,sepcv059T1,sepcv060T1,sepcv061T1,sepcv062T1,sepcv063T1,sepcv065T0,sepcv066T1,sepcv067T1,sepcv068T1a,sepcv069T1,sepcv070T1,sepcv071T1,sepcv072T1,sepcv073T1,sepcv074T1,sepcv075T1,sepcv076T1,sepcv077T1,sepcv078T1,sepcv079T1,sepcv080T1,sepcv082T1,sepcv083T0,sepcv084T0,sepcv085T1,sepcv086T1,sepcv087T1,sepcv702W1,sepcv703W1
CHDH,2.355869,1.391851,3.01501,2.753114,3.626881,2.974822,2.830882,2.814762,6.094494,2.353086,3.051847,2.665271,2.22919,4.347959,2.615169,1.391851,2.199355,3.576107,2.440991,2.338637,2.579845,5.279947,2.527858,2.130839,4.857249,3.74785,1.840169,2.929011,3.492294,2.974368,2.620828,2.837335,3.637365,3.681472,2.239223,3.7443,3.360521,2.949854,2.691848,1.925037,2.486286,2.520637,2.167266,2.647621,3.279557,1.391851,3.153032,3.569166,3.677307,3.089318,2.338755,2.220629,2.098611,2.394652,2.94994,3.366307,2.57759,3.393907,2.781356,2.428852,2.124859,2.939984,2.406985,2.411784,2.720274,7.38538,2.16536,1.391851,1.963915,2.216053,3.786358,2.658126,2.961943,2.0761,2.4498,2.313999,2.532627,2.711884,3.591877,1.94838,2.788431,2.20591
SLC44A1,9.147962,7.546038,8.940358,10.281674,9.216203,8.970244,8.71201,8.231309,7.845416,7.670921,7.711349,9.482883,8.177406,8.380468,8.616573,8.365299,9.285743,8.841859,8.82428,8.220708,8.443599,9.21962,7.954863,8.004812,7.290368,9.313481,8.392827,8.568899,7.523135,8.054809,7.55371,8.383176,8.033776,8.064939,7.925863,9.428112,8.2392,8.476517,7.921307,8.159019,7.378411,8.677926,8.196191,8.129077,8.92711,8.351613,8.469798,8.58749,9.734694,7.867782,7.757689,7.431632,7.24324,8.167068,8.204212,8.67375,7.599837,8.181327,8.424967,7.782712,8.09085,8.299225,7.926452,8.168777,8.10887,6.696651,8.751228,7.828586,8.239804,8.848935,7.95559,8.986254,7.98971,8.276601,7.735848,7.904791,7.476032,8.412166,9.143749,8.301474,7.738543,7.903951
ARG2,5.378991,4.976074,4.197065,3.444082,6.629215,3.919456,5.593903,7.688089,4.941692,4.37977,4.090889,3.336441,3.168064,3.945808,3.539584,6.479563,5.381455,4.897004,4.118042,4.667362,3.572452,3.798368,4.173887,3.266938,4.031831,3.448865,4.231898,4.62358,4.443257,7.167947,3.305209,5.074656,5.170958,2.589048,3.107965,6.55742,3.363051,8.316974,3.171723,3.49511,4.180569,3.976329,3.066219,4.731489,5.233873,3.678172,5.754611,4.888417,4.400712,3.365929,3.715011,3.438153,2.736437,3.513993,4.849594,4.000143,3.240526,4.616245,9.904855,5.386831,5.189218,4.396821,4.66662,5.369806,2.857952,3.912669,2.688006,5.881288,3.465342,4.61893,5.521201,4.716269,4.203922,4.179626,2.93319,2.743043,3.504196,3.726124,4.722787,3.172935,3.586831,4.192818
ACOD1,5.274714,1.708292,1.708292,1.708292,1.708292,4.360051,5.943667,1.708292,2.637508,3.559501,2.510679,1.708292,1.708292,2.597084,3.084459,2.673418,2.966533,1.708292,2.343256,1.708292,1.708292,1.708292,2.982764,1.708292,2.892025,3.127169,3.497313,1.708292,3.399954,1.708292,1.708292,4.264648,7.990339,1.708292,2.793715,1.708292,1.708292,1.708292,2.346689,2.539095,3.825371,2.748553,2.570059,1.708292,3.244997,1.708292,2.755494,2.668937,1.708292,3.886018,3.060816,2.363691,1.708292,2.627893,3.690543,1.708292,2.5616,1.708292,2.719878,1.708292,2.522197,2.846778,2.843182,3.41682,2.589555,1.708292,2.567905,2.728105,1.708292,2.459512,3.842046,3.134774,3.40077,3.00555,3.147027,2.307067,2.456962,5.466399,1.708292,1.708292,2.321025,3.470319
OLFM4,6.160027,6.666223,10.094731,5.824875,9.511479,7.564093,5.037349,10.662289,11.728973,3.811621,6.172038,10.912192,8.594559,11.238583,6.061362,7.530423,7.032067,10.231148,4.961488,5.80679,9.878107,14.497591,6.6033,3.803801,12.544543,11.184041,6.305695,11.055077,7.855464,7.511948,3.32054,9.775777,8.996185,7.151991,4.875826,10.105679,8.513314,7.793019,2.586355,2.836293,4.204603,5.169487,8.331113,5.121807,10.145334,5.01492,10.947475,7.181533,11.739925,9.1198,4.100112,2.912923,5.880888,9.448202,9.834487,11.263547,6.355226,11.610678,7.000326,5.954972,3.239445,5.128015,6.480425,5.132423,4.081894,5.786812,7.976576,8.161402,5.450002,6.069717,6.791649,10.376113,8.55032,4.130074,3.7353,7.108079,2.497093,7.362143,9.646971,5.152577,5.722082,5.316738
MLYCD,6.050551,6.523135,5.835444,5.918827,6.532173,6.428823,6.045165,5.944818,5.798531,6.72072,6.378376,5.741121,6.019243,5.873037,6.074342,6.078305,6.440252,5.28038,6.282049,6.23758,6.425431,5.669631,6.170681,6.791235,5.200088,6.402163,6.190365,6.093678,6.452295,5.564572,6.577839,5.882168,5.51831,6.381198,6.631189,6.256051,6.399761,6.309163,6.848952,6.834114,6.923656,6.266166,6.555809,6.642488,6.31669,6.836839,6.359031,6.20708,5.759972,6.395932,6.460827,6.798862,6.463251,6.41563,6.679548,6.223094,5.781771,5.927814,5.231052,6.219307,6.205284,6.408758,6.674135,6.491199,6.201452,6.371651,6.175093,6.355755,6.922745,6.468788,6.974953,6.284267,6.54352,6.400157,6.112238,6.484388,6.840697,6.893793,5.831976,5.806983,6.924219,6.67673
ABCB6,3.122848,3.282611,3.655796,3.71487,3.675929,5.098252,3.172385,4.34663,2.114203,3.392924,2.304036,3.560339,3.152174,3.068506,2.82569,3.216213,4.90115,3.021071,3.313589,3.024893,3.253295,2.981567,3.553816,2.328358,3.134981,2.585999,2.542553,3.93163,4.50733,3.963848,2.379145,3.218059,3.871007,2.757338,3.444353,3.327654,2.249403,1.218888,2.568791,3.107078,2.279441,2.438792,3.172405,2.869144,3.371437,3.032238,3.166055,2.789063,3.006319,3.090774,3.453632,2.603416,2.438401,4.292735,2.690425,2.822524,1.218888,2.390236,4.037992,3.040012,3.329941,3.437384,2.911024,2.970651,3.053815,2.613815,3.308788,2.881707,3.511187,3.180254,3.606323,3.858939,4.301882,2.812328,2.605133,3.058398,2.232346,3.661535,4.98164,2.848216,4.051286,3.042274
ADPRS,7.059859,7.745564,6.567955,6.694444,7.337328,7.637483,7.238805,7.000683,7.494561,7.97685,7.753787,6.788432,6.564802,6.986276,7.732577,6.795653,8.039656,6.222183,7.374034,6.742143,7.261739,6.653642,7.488733,7.255103,6.972629,6.935446,8.043889,6.686295,8.119797,7.109928,7.152929,7.409983,7.097539,7.213475,7.76701,6.821868,7.159798,7.515053,7.743669,7.448782,7.351597,7.358279,6.946688,7.242406,7.759618,7.546046,7.14299,7.553371,6.539198,7.172376,7.514293,7.193431,7.146939,7.855678,7.517054,6.987533,6.971174,6.151873,6.5118,6.708522,7.4339,7.183046,7.925526,7.4081,7.98391,6.765478,7.35937,7.403543,7.306253,8.877647,8.167594,6.730076,7.821821,6.784227,6.937915,6.65733,7.21805,6.870129,6.681031,6.342444,7.875804,8.691149
G0S2,5.489159,6.30035,7.414275,6.128873,5.969625,7.49136,9.417258,3.588657,7.55254,7.074048,5.132232,6.008101,4.582488,6.960917,5.399069,3.099149,7.409977,6.333724,4.592699,4.686026,6.590367,8.275032,6.093185,3.718397,11.028033,3.71467,6.090582,4.289752,3.95813,4.192912,2.091187,6.112969,6.851827,5.729297,4.919569,5.484812,6.130415,3.044946,3.223794,3.799019,5.560958,6.174946,5.05425,5.813087,5.797547,3.978328,4.956251,6.29285,6.707298,5.449181,4.8483,3.148781,4.881931,5.717112,5.913018,5.345528,6.885897,7.296288,4.893125,4.193324,5.153948,5.751967,3.682128,5.817242,5.964406,3.524375,5.93054,3.764719,4.300008,6.541078,7.803987,5.207409,3.858802,3.755933,5.19967,4.306174,3.447584,7.757723,4.047139,4.491056,6.729696,6.408928
IQCN,5.048765,6.017599,4.885164,5.830599,6.384426,6.876835,6.881729,5.47855,4.459301,6.711277,6.778062,4.25835,4.532109,4.01625,5.934693,5.959525,8.137518,3.9119,5.284633,6.708177,5.4085,3.422004,5.964368,6.067812,5.57392,6.065866,6.786141,6.088795,5.487188,5.631048,5.515843,5.816909,6.764749,6.696903,7.398486,7.302696,5.67042,8.136217,6.751559,7.098718,7.209493,6.23278,5.828512,6.991166,7.420511,7.533959,6.18312,6.260695,4.14486,6.063964,7.089122,6.309178,6.01552,6.461807,7.273406,6.269965,5.001249,4.19243,6.644512,6.441715,5.976995,5.148891,7.77025,6.510529,5.855585,8.167434,5.434572,7.747799,8.978533,7.605371,7.030338,6.301809,7.397015,6.245371,6.24245,6.408247,5.587064,8.12169,4.630077,6.807978,6.879528,7.31153
