LibraryName;SampleName
GSM5608946;sepcol001
GSM5608947;sepcol002
GSM5608948;sepcol003
GSM5608949;sepcol004
GSM5608950;sepcol005
GSM5608951;sepcol006
GSM5608952;sepcol007
GSM5608953;sepcol008
GSM5608954;sepcol009
GSM5608955;sepcol010
GSM5608956;sepcol012
GSM5608957;sepcol014
GSM5608958;sepcol015
GSM5608959;sepcol016
GSM5608960;sepcol017
GSM5608961;sepcol018
GSM5608962;sepcol019
GSM5608963;sepcol020
GSM5608964;sepcol021
GSM5608965;sepcol022
GSM5608966;sepcol024
GSM5608967;sepcol025
GSM5608968;sepcol026
GSM5608969;sepcol027
GSM5608970;sepcol028
GSM5608971;sepcol032
GSM5608972;sepcol034
GSM5608973;sepcol040
GSM5608974;sepcol044
GSM5608975;sepcol045
GSM5608976;sepcol046
GSM5608977;sepcol049
GSM5608978;sepcol050
GSM5608979;sepcol055
GSM5608980;sepcol056
GSM5608981;sepcol058
GSM5608982;sepcol059
GSM5608983;sepcol060
GSM5608984;sepcol061
GSM5608985;sepcol062
GSM5608986;sepcol063
GSM5608987;sepcol064
GSM5608988;sepcol065
GSM5608989;sepcol067
GSM5608990;sepcol069
GSM5608991;sepcol070
GSM5608992;sepcol071
GSM5608993;sepcol073
GSM5608994;sepcol075
GSM5608995;sepcol077
GSM5608996;sepcol082
GSM5608997;sepcol086
GSM5608998;sepcol087
GSM5608999;sepcol089
GSM5609000;sepcol091
GSM5609001;sepcol092
GSM5609002;sepcol093
GSM5609003;sepcol094
GSM5609004;sepcol096
GSM5609005;sepcol097
GSM5609006;sepcol103
GSM5609007;sepcol104
GSM5609008;sepcol105
GSM5609009;sepcol106
GSM5609010;sepcol108
GSM5609011;sepcol109
GSM5609012;sepcol110
GSM5609013;sepnet0186
GSM5609014;sepnet0344
GSM5609015;sepnet0375
GSM5609016;sepnet0537
GSM5609017;sepnet0738
GSM5609018;sepnet0904
GSM5609019;sepnet1051
GSM5609020;sepnet1093
GSM5609021;sepnet1094
GSM5609022;sepnet1140
GSM5609023;sepnet1169
GSM5609024;sepnet1170
GSM5609025;sepnet1179a
GSM5609026;sepnet1182
GSM5609027;sepnet1183
GSM5609028;sepnet1185
GSM5609029;sepnet1191
GSM5609030;sepnet1195
GSM5609031;sepnet1196
GSM5609032;sepnet1199
GSM5609033;sepnet1201
GSM5609034;sepnet1204
GSM5609035;sepnet1205
GSM5609036;sepnet1206
GSM5609037;sepnet1209
GSM5609038;sepnet1214a
GSM5609039;sepnet1220
GSM5609040;sepnet1221
GSM5609041;sepnet1222
GSM5609042;sepnet1230
GSM5609043;sepnet1243
GSM5609044;sepnet1244
GSM5609045;sepnet1245
GSM5609046;sepnet1251
GSM5609047;sepnet1266
GSM5609048;sepnet1267
GSM5609049;sepnet1282
GSM5609050;sepnet1283
GSM5609051;sepnet1286
GSM5609052;sepnet1287
GSM5609053;sepnet1304
GSM5609054;sepnet1310
GSM5609055;sepnet1315
GSM5609056;sepnet1317
GSM5609057;sepnet1319
GSM5609058;sepnet1323
GSM5609059;sepnet1326
GSM5609060;sepnet1329
GSM5609061;sepnet1330
GSM5609062;sepnet1331
GSM5609063;sepnet1332
GSM5609064;sepnet1335
GSM5609065;sepnet1340
GSM5609066;sepnet1344
GSM5609067;sepnet1345
GSM5609068;sepnet1347
GSM5609069;sepnet1351
GSM5609070;sepnet1355
GSM5609071;sepnet1356
GSM5609072;sepnet1359
GSM5609073;sepnet1361
GSM5609074;sepnet1362
GSM5609075;sepnet1370
GSM5609076;sepnet1375
GSM5609077;sepnet1377
GSM5609078;sepnet1378
GSM5609079;sepnet1381
GSM5609080;sepnet1385
GSM5609081;sepnet1405
GSM5609082;sepnet1406
GSM5609083;sepnet1407
GSM5609084;sepnet1409
GSM5609085;sepnet1411
GSM5609086;sepnet1413
GSM5609087;sepnet1415
GSM5609088;sepnet1416
GSM5609089;sepnet1422
GSM5609090;sepnet1425
GSM5609091;sepnet1426
GSM5609092;sepnet1440
GSM5609093;sepnet1443
GSM5609094;sepnet1447
GSM5609095;sepnet1453
GSM5609096;sepnet1493
GSM5609097;sepnet155a
GSM5609098;sepnet9001
GSM5609099;sepnet9002
GSM5609100;sepnet9003
GSM5609101;sepnet9004
GSM5609102;sepnet9005
GSM5609103;sepnet9006
GSM5609104;sepnet9007
GSM5609105;sepnet9008
GSM5609106;sepnet9009
GSM5609107;sepnet9010
GSM5609108;sepnet9011
GSM5609109;sepnet9012
GSM5609110;sepnet9013
GSM5609111;sepnet9014
GSM5609112;sepnet9015
GSM5609113;sepnet9016
GSM5609114;sepnet9017
GSM5609115;sepnet9018
GSM5609116;sepnet9019
GSM5609117;sepvh006
GSM5609118;sepvh019
GSM5609119;sepvh024
GSM5609120;sepvh029
GSM5609121;sepvh033
GSM5609122;sepvh037
GSM5609123;sepvh040
GSM5609124;sepvh043
GSM5609125;sepvh044
GSM5609126;sepvh047
GSM5609127;sepvh050
GSM5609128;sepwes003
GSM5609129;sepwes006
GSM5609130;sepwes007
GSM5609131;sepwes008
GSM5609132;sepwes009
GSM5609133;sepwes010
GSM5609134;sepwes011
GSM5609135;sepwes012
GSM5609136;sepwes013
GSM5609137;sepwes014
GSM5609138;sepwes015
GSM5609139;sepwes016
GSM5609140;sepwes017
GSM5609141;sepwes018
GSM5609142;sepwes019
GSM5609143;sepwes020
GSM5609144;sepwes021
GSM5609145;sepwes023
GSM5609146;sepwes024
GSM5609147;sepwes025
GSM5609148;sepwes026
GSM5609149;sepwes027
GSM5609150;sepwes029
GSM5609151;sepwes030
GSM5609152;sepwes031
GSM5609153;sepwes032
GSM5609154;sepwes033
GSM5609155;sepwes034
GSM5609156;sepwes036
GSM5609157;sepwes038
GSM5609158;sepwes039
GSM5609159;sepwes040
