"","outcome","low_exp","sample","norm"
"1",39245,"1","1","FALSE"
"2",39245,"1","1","TRUE"
"3",35452,"1","2","FALSE"
"4",35452,"1","2","TRUE"
"5",33369,"1","3","FALSE"
"6",33369,"1","3","TRUE"
"7",32028,"1","4","FALSE"
"8",32028,"1","4","TRUE"
"9",31041,"1","5","FALSE"
"10",31041,"1","5","TRUE"
"11",30324,"1","6","FALSE"
"12",30324,"1","6","TRUE"
"13",29684,"1","7","FALSE"
"14",29684,"1","7","TRUE"
"15",29166,"1","8","FALSE"
"16",29166,"1","8","TRUE"
"17",28690,"1","9","FALSE"
"18",28690,"1","9","TRUE"
"19",28303,"1","10","FALSE"
"20",28303,"1","10","TRUE"
"21",33994,"2","1","FALSE"
"22",33994,"2","1","TRUE"
"23",30190,"2","2","FALSE"
"24",30190,"2","2","TRUE"
"25",28377,"2","3","FALSE"
"26",28377,"2","3","TRUE"
"27",27248,"2","4","FALSE"
"28",27248,"2","4","TRUE"
"29",26451,"2","5","FALSE"
"30",26451,"2","5","TRUE"
"31",25867,"2","6","FALSE"
"32",25867,"2","6","TRUE"
"33",25336,"2","7","FALSE"
"34",25336,"2","7","TRUE"
"35",24869,"2","8","FALSE"
"36",24869,"2","8","TRUE"
"37",24471,"2","9","FALSE"
"38",24471,"2","9","TRUE"
"39",24161,"2","10","FALSE"
"40",24161,"2","10","TRUE"
"41",29771,"3","1","FALSE"
"42",29771,"3","1","TRUE"
"43",26324,"3","2","FALSE"
"44",26324,"3","2","TRUE"
"45",24818,"3","3","FALSE"
"46",24818,"3","3","TRUE"
"47",23888,"3","4","FALSE"
"48",23888,"3","4","TRUE"
"49",23290,"3","5","FALSE"
"50",23290,"3","5","TRUE"
"51",22820,"3","6","FALSE"
"52",22820,"3","6","TRUE"
"53",22447,"3","7","FALSE"
"54",22447,"3","7","TRUE"
"55",22090,"3","8","FALSE"
"56",22090,"3","8","TRUE"
"57",21813,"3","9","FALSE"
"58",21813,"3","9","TRUE"
"59",21568,"3","10","FALSE"
"60",21568,"3","10","TRUE"
"61",27643,"4","1","FALSE"
"62",27643,"4","1","TRUE"
"63",24407,"4","2","FALSE"
"64",24407,"4","2","TRUE"
"65",23137,"4","3","FALSE"
"66",23137,"4","3","TRUE"
"67",22334,"4","4","FALSE"
"68",22334,"4","4","TRUE"
"69",21803,"4","5","FALSE"
"70",21803,"4","5","TRUE"
"71",21369,"4","6","FALSE"
"72",21369,"4","6","TRUE"
"73",21000,"4","7","FALSE"
"74",21000,"4","7","TRUE"
"75",20714,"4","8","FALSE"
"76",20714,"4","8","TRUE"
"77",20451,"4","9","FALSE"
"78",20451,"4","9","TRUE"
"79",20253,"4","10","FALSE"
"80",20253,"4","10","TRUE"
"81",25458,"5","1","FALSE"
"82",25458,"5","1","TRUE"
"83",22695,"5","2","FALSE"
"84",22695,"5","2","TRUE"
"85",21592,"5","3","FALSE"
"86",21592,"5","3","TRUE"
"87",20944,"5","4","FALSE"
"88",20944,"5","4","TRUE"
"89",20478,"5","5","FALSE"
"90",20478,"5","5","TRUE"
"91",20082,"5","6","FALSE"
"92",20082,"5","6","TRUE"
"93",19773,"5","7","FALSE"
"94",19773,"5","7","TRUE"
"95",19502,"5","8","FALSE"
"96",19502,"5","8","TRUE"
"97",19283,"5","9","FALSE"
"98",19283,"5","9","TRUE"
"99",19102,"5","10","FALSE"
"100",19102,"5","10","TRUE"
"101",24280,"6","1","FALSE"
"102",24280,"6","1","TRUE"
"103",21730,"6","2","FALSE"
"104",21730,"6","2","TRUE"
"105",20696,"6","3","FALSE"
"106",20696,"6","3","TRUE"
"107",20032,"6","4","FALSE"
"108",20032,"6","4","TRUE"
"109",19612,"6","5","FALSE"
"110",19612,"6","5","TRUE"
"111",19232,"6","6","FALSE"
"112",19232,"6","6","TRUE"
"113",18930,"6","7","FALSE"
"114",18930,"6","7","TRUE"
"115",18730,"6","8","FALSE"
"116",18730,"6","8","TRUE"
"117",18542,"6","9","FALSE"
"118",18542,"6","9","TRUE"
"119",18386,"6","10","FALSE"
"120",18386,"6","10","TRUE"
"121",23085,"7","1","FALSE"
"122",23085,"7","1","TRUE"
"123",20717,"7","2","FALSE"
"124",20717,"7","2","TRUE"
"125",19764,"7","3","FALSE"
"126",19764,"7","3","TRUE"
"127",19218,"7","4","FALSE"
"128",19218,"7","4","TRUE"
"129",18833,"7","5","FALSE"
"130",18833,"7","5","TRUE"
"131",18522,"7","6","FALSE"
"132",18522,"7","6","TRUE"
"133",18273,"7","7","FALSE"
"134",18273,"7","7","TRUE"
"135",18068,"7","8","FALSE"
"136",18068,"7","8","TRUE"
"137",17896,"7","9","FALSE"
"138",17896,"7","9","TRUE"
"139",17734,"7","10","FALSE"
"140",17734,"7","10","TRUE"
"141",22149,"8","1","FALSE"
"142",22149,"8","1","TRUE"
"143",19970,"8","2","FALSE"
"144",19970,"8","2","TRUE"
"145",19170,"8","3","FALSE"
"146",19170,"8","3","TRUE"
"147",18660,"8","4","FALSE"
"148",18660,"8","4","TRUE"
"149",18300,"8","5","FALSE"
"150",18300,"8","5","TRUE"
"151",18029,"8","6","FALSE"
"152",18029,"8","6","TRUE"
"153",17790,"8","7","FALSE"
"154",17790,"8","7","TRUE"
"155",17577,"8","8","FALSE"
"156",17577,"8","8","TRUE"
"157",17393,"8","9","FALSE"
"158",17393,"8","9","TRUE"
"159",17253,"8","10","FALSE"
"160",17253,"8","10","TRUE"
"161",21373,"9","1","FALSE"
"162",21373,"9","1","TRUE"
